"id","name","number.compounds","super.pathway"
"map00363","Bisphenol degradation",25,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00364","Fluorobenzoate degradation",32,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00365","Furfural degradation",12,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00380","Tryptophan metabolism",82,"Metabolism; Amino acid metabolism"
"map00400","Phenylalanine, tyrosine and tryptophan biosynthesis",33,"Metabolism; Amino acid metabolism"
"map00401","Novobiocin biosynthesis",33,"Metabolism; Biosynthesis of other secondary metabolites"
"map00402","Benzoxazinoid biosynthesis",9,"Metabolism; Biosynthesis of other secondary metabolites"
"map00410","beta-Alanine metabolism",31,"Metabolism; Metabolism of other amino acids"
"map00430","Taurine and hypotaurine metabolism",22,"Metabolism; Metabolism of other amino acids"
"map00440","Phosphonate and phosphinate metabolism",51,"Metabolism; Metabolism of other amino acids"
"map00450","Selenocompound metabolism",27,"Metabolism; Metabolism of other amino acids"
"map00460","Cyanoamino acid metabolism",46,"Metabolism; Metabolism of other amino acids"
"map00471","D-Glutamine and D-glutamate metabolism",12,"Metabolism; Metabolism of other amino acids"
"map00472","D-Arginine and D-ornithine metabolism",10,"Metabolism; Metabolism of other amino acids"
"map00473","D-Alanine metabolism",6,"Metabolism; Metabolism of other amino acids"
"map00480","Glutathione metabolism",38,"Metabolism; Metabolism of other amino acids"
"map00500","Starch and sucrose metabolism",51,"Metabolism; Carbohydrate metabolism"
"map00510","N-Glycan biosynthesis",36,"Metabolism; Glycan biosynthesis and metabolism"
"map00512","Mucin type O-Glycan biosynthesis",15,"Metabolism; Glycan biosynthesis and metabolism"
"map00513","Various types of N-glycan biosynthesis",28,"Metabolism; Glycan biosynthesis and metabolism"
"map00520","Amino sugar and nucleotide sugar metabolism",99,"Metabolism; Carbohydrate metabolism"
"map00521","Streptomycin biosynthesis",24,"Metabolism; Biosynthesis of other secondary metabolites"
"map00522","Biosynthesis of 12-, 14- and 16-membered macrolides",75,"Metabolism; Metabolism of terpenoids and polyketides"
"map00523","Polyketide sugar unit biosynthesis",36,"Metabolism; Metabolism of terpenoids and polyketides"
"map00524","Butirosin and neomycin biosynthesis",33,"Metabolism; Biosynthesis of other secondary metabolites"
"map00531","Glycosaminoglycan degradation",23,"Metabolism; Glycan biosynthesis and metabolism"
"map00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",12,"Metabolism; Glycan biosynthesis and metabolism"
"map00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",7,"Metabolism; Glycan biosynthesis and metabolism"
"map00540","Lipopolysaccharide biosynthesis",29,"Metabolism; Glycan biosynthesis and metabolism"
"map00550","Peptidoglycan biosynthesis",27,"Metabolism; Glycan biosynthesis and metabolism"
"map00561","Glycerolipid metabolism",33,"Metabolism; Lipid metabolism"
"map00562","Inositol phosphate metabolism",44,"Metabolism; Carbohydrate metabolism"
"map00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis",16,"Metabolism; Glycan biosynthesis and metabolism"
"map00564","Glycerophospholipid metabolism",52,"Metabolism; Lipid metabolism"
"map00565","Ether lipid metabolism",23,"Metabolism; Lipid metabolism"
"map00590","Arachidonic acid metabolism",75,"Metabolism; Lipid metabolism"
"map00591","Linoleic acid metabolism",28,"Metabolism; Lipid metabolism"
"map00592","alpha-Linolenic acid metabolism",40,"Metabolism; Lipid metabolism"
"map00600","Sphingolipid metabolism",25,"Metabolism; Lipid metabolism"
"map00601","Glycosphingolipid biosynthesis - lacto and neolacto series",52,"Metabolism; Glycan biosynthesis and metabolism"
"map00603","Glycosphingolipid biosynthesis - globo series",17,"Metabolism; Glycan biosynthesis and metabolism"
"map00604","Glycosphingolipid biosynthesis - ganglio series",31,"Metabolism; Glycan biosynthesis and metabolism"
"map00620","Pyruvate metabolism",32,"Metabolism; Carbohydrate metabolism"
"map00621","Dioxin degradation",58,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00622","Xylene degradation",37,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00623","Toluene degradation",45,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00624","Polycyclic aromatic hydrocarbon degradation",105,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00625","Chloroalkane and chloroalkene degradation",40,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00626","Naphthalene degradation",60,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00627","Aminobenzoate degradation",84,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00630","Glyoxylate and dicarboxylate metabolism",58,"Metabolism; Carbohydrate metabolism"
"map00633","Nitrotoluene degradation",27,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00640","Propanoate metabolism",36,"Metabolism; Carbohydrate metabolism"
"map00642","Ethylbenzene degradation",14,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00643","Styrene degradation",24,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00650","Butanoate metabolism",41,"Metabolism; Carbohydrate metabolism"
"map00660","C5-Branched dibasic acid metabolism",32,"Metabolism; Carbohydrate metabolism"
"map00670","One carbon pool by folate",9,"Metabolism; Metabolism of cofactors and vitamins"
"map00680","Methane metabolism",79,"Metabolism; Energy metabolism"
"map00710","Carbon fixation in photosynthetic organisms",23,"Metabolism; Energy metabolism"
"map00720","Carbon fixation pathways in prokaryotes",45,"Metabolism; Energy metabolism"
"map00730","Thiamine metabolism",26,"Metabolism; Metabolism of cofactors and vitamins"
"map00740","Riboflavin metabolism",23,"Metabolism; Metabolism of cofactors and vitamins"
"map00750","Vitamin B6 metabolism",32,"Metabolism; Metabolism of cofactors and vitamins"
"map00760","Nicotinate and nicotinamide metabolism",47,"Metabolism; Metabolism of cofactors and vitamins"
"map00770","Pantothenate and CoA biosynthesis",28,"Metabolism; Metabolism of cofactors and vitamins"
"map00780","Biotin metabolism",28,"Metabolism; Metabolism of cofactors and vitamins"
"map00785","Lipoic acid metabolism",6,"Metabolism; Metabolism of cofactors and vitamins"
"map00790","Folate biosynthesis",34,"Metabolism; Metabolism of cofactors and vitamins"
"map00791","Atrazine degradation",21,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00830","Retinol metabolism",24,"Metabolism; Metabolism of cofactors and vitamins"
"map00860","Porphyrin and chlorophyll metabolism",124,"Metabolism; Metabolism of cofactors and vitamins"
"map00900","Terpenoid backbone biosynthesis",43,"Metabolism; Metabolism of terpenoids and polyketides"
"map00901","Indole alkaloid biosynthesis",47,"Metabolism; Biosynthesis of other secondary metabolites"
"map00902","Monoterpenoid biosynthesis",49,"Metabolism; Metabolism of terpenoids and polyketides"
"map00903","Limonene and pinene degradation",64,"Metabolism; Metabolism of terpenoids and polyketides"
"map00904","Diterpenoid biosynthesis",95,"Metabolism; Metabolism of terpenoids and polyketides"
"map00905","Brassinosteroid biosynthesis",29,"Metabolism; Metabolism of terpenoids and polyketides"
"map00906","Carotenoid biosynthesis",115,"Metabolism; Metabolism of terpenoids and polyketides"
"map00908","Zeatin biosynthesis",39,"Metabolism; Metabolism of terpenoids and polyketides"
"map00909","Sesquiterpenoid and triterpenoid biosynthesis",78,"Metabolism; Metabolism of terpenoids and polyketides"
"map00910","Nitrogen metabolism",19,"Metabolism; Energy metabolism"
"map00920","Sulfur metabolism",29,"Metabolism; Energy metabolism"
"map00930","Caprolactam degradation",22,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00940","Phenylpropanoid biosynthesis",65,"Metabolism; Biosynthesis of other secondary metabolites"
"map00941","Flavonoid biosynthesis",68,"Metabolism; Biosynthesis of other secondary metabolites"
"map00942","Anthocyanin biosynthesis",66,"Metabolism; Biosynthesis of other secondary metabolites"
"map00943","Isoflavonoid biosynthesis",63,"Metabolism; Biosynthesis of other secondary metabolites"
"map00944","Flavone and flavonol biosynthesis",49,"Metabolism; Biosynthesis of other secondary metabolites"
"map00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis",25,"Metabolism; Biosynthesis of other secondary metabolites"
"map00950","Isoquinoline alkaloid biosynthesis",93,"Metabolism; Biosynthesis of other secondary metabolites"
"map00960","Tropane, piperidine and pyridine alkaloid biosynthesis",68,"Metabolism; Biosynthesis of other secondary metabolites"
"map00965","Betalain biosynthesis",24,"Metabolism; Biosynthesis of other secondary metabolites"
"map00966","Glucosinolate biosynthesis",75,"Metabolism; Biosynthesis of other secondary metabolites"
"map00970","Aminoacyl-tRNA biosynthesis",52,"Genetic Information Processing; Translation"
"map00980","Metabolism of xenobiotics by cytochrome P450",121,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00981","Insect hormone biosynthesis",25,"Metabolism; Metabolism of terpenoids and polyketides"
"map00982","Drug metabolism - cytochrome P450",100,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00983","Drug metabolism - other enzymes",49,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00984","Steroid degradation",16,"Metabolism; Xenobiotics biodegradation and metabolism"
"map01040","Biosynthesis of unsaturated fatty acids",54,"Metabolism; Lipid metabolism"
"map01051","Biosynthesis of ansamycins",32,"Metabolism; Metabolism of terpenoids and polyketides"
"map01052","Type I polyketide structures",21,"Metabolism; Metabolism of terpenoids and polyketides"
"map01053","Biosynthesis of siderophore group nonribosomal peptides",13,"Metabolism; Metabolism of terpenoids and polyketides"
"map01054","Nonribosomal peptide structures",14,"Metabolism; Metabolism of terpenoids and polyketides"
"map01055","Biosynthesis of vancomycin group antibiotics",19,"Metabolism; Metabolism of terpenoids and polyketides"
"map01056","Biosynthesis of type II polyketide backbone",24,"Metabolism; Metabolism of terpenoids and polyketides"
"map01057","Biosynthesis of type II polyketide products",134,"Metabolism; Metabolism of terpenoids and polyketides"
"map01058","Acridone alkaloid biosynthesis",7,"Metabolism; Biosynthesis of other secondary metabolites"
"map02010","ABC transporters",121,"Environmental Information Processing; Membrane transport"
"map02020","Two-component system",41,"Environmental Information Processing; Signal transduction"
"map02030","Bacterial chemotaxis",6,"Cellular Processes; Cell motility"
"map02060","Phosphotransferase system (PTS)",48,"Environmental Information Processing; Membrane transport"
"map03013","RNA transport",3,"Genetic Information Processing; Translation"
"map03018","RNA degradation",1,"Genetic Information Processing; Folding, sorting and degradation"
"map03070","Bacterial secretion system",1,"Environmental Information Processing; Membrane transport"
"map03320","PPAR signaling pathway",5,"Organismal Systems; Endocrine system"
"map04010","MAPK signaling pathway",5,"Environmental Information Processing; Signal transduction"
"map04012","ErbB signaling pathway",4,"Environmental Information Processing; Signal transduction"
"map04014","Ras signaling pathway",7,"Environmental Information Processing; Signal transduction"
"map04015","Rap1 signaling pathway",5,"Environmental Information Processing; Signal transduction"
"map04020","Calcium signaling pathway",10,"Environmental Information Processing; Signal transduction"
"map04062","Chemokine signaling pathway",5,"Organismal Systems; Immune system"
"map04064","NF-kappa B signaling pathway",3,"Environmental Information Processing; Signal transduction"
"map04066","HIF-1 signaling pathway",15,"Environmental Information Processing; Signal transduction"
"map04068","FoxO signaling pathway",5,"Environmental Information Processing; Signal transduction"
"map04070","Phosphatidylinositol signaling system",27,"Environmental Information Processing; Signal transduction"
"map04075","Plant hormone signal transduction",12,"Environmental Information Processing; Signal transduction"
"map04080","Neuroactive ligand-receptor interaction",128,"Environmental Information Processing; Signaling molecules and interaction"
"map04111","Cell cycle - yeast",2,"Cellular Processes; Cell growth and death"
"map04112","Cell cycle - Caulobacter",1,"Cellular Processes; Cell growth and death"
"map04113","Meiosis - yeast",3,"Cellular Processes; Cell growth and death"
"map04114","Oocyte meiosis",4,"Cellular Processes; Cell growth and death"
"map04122","Sulfur relay system",10,"Genetic Information Processing; Folding, sorting and degradation"
"map04140","Regulation of autophagy",5,"Cellular Processes; Transport and catabolism"
"map04141","Protein processing in endoplasmic reticulum",6,"Genetic Information Processing; Folding, sorting and degradation"
"map04142","Lysosome",4,"Cellular Processes; Transport and catabolism"
"map04144","Endocytosis",7,"Cellular Processes; Transport and catabolism"
"map04145","Phagosome",5,"Cellular Processes; Transport and catabolism"
"map04150","mTOR signaling pathway",10,"Environmental Information Processing; Signal transduction"
"map04151","PI3K-Akt signaling pathway",4,"Environmental Information Processing; Signal transduction"
"map04260","Cardiac muscle contraction",4,"Organismal Systems; Circulatory system"
"map04261","Adrenergic signaling in cardiomyocytes",11,"Organismal Systems; Circulatory system"
"map04270","Vascular smooth muscle contraction",26,"Organismal Systems; Circulatory system"
"map04310","Wnt signaling pathway",1,"Environmental Information Processing; Signal transduction"
"map04340","Hedgehog signaling pathway",1,"Environmental Information Processing; Signal transduction"
"map04360","Axon guidance",1,"Organismal Systems; Development"
"map04370","VEGF signaling pathway",6,"Environmental Information Processing; Signal transduction"
"map04380","Osteoclast differentiation",3,"Organismal Systems; Development"
"map04510","Focal adhesion",2,"Cellular Processes; Cellular commiunity"
"map04512","ECM-receptor interaction",1,"Environmental Information Processing; Signaling molecules and interaction"
"map04530","Tight junction",1,"Cellular Processes; Cellular commiunity"
"map04540","Gap junction",11,"Cellular Processes; Cellular commiunity"
"map04610","Complement and coagulation cascades",2,"Organismal Systems; Immune system"
"map04614","Renin-angiotensin system",7,"Organismal Systems; Endocrine system"
"map04621","NOD-like receptor signaling pathway",1,"Organismal Systems; Immune system"
"map04623","Cytosolic DNA-sensing pathway",1,"Organismal Systems; Immune system"
"map04626","Plant-pathogen interaction",7,"Organismal Systems; Environmental adaptation"
"map04640","Hematopoietic cell lineage",2,"Organismal Systems; Immune system"
"map04650","Natural killer cell mediated cytotoxicity",4,"Organismal Systems; Immune system"
"map04660","T cell receptor signaling pathway",4,"Organismal Systems; Immune system"
"map04662","B cell receptor signaling pathway",4,"Organismal Systems; Immune system"
"map04664","Fc epsilon RI signaling pathway",11,"Organismal Systems; Immune system"
"map04666","Fc gamma R-mediated phagocytosis",8,"Organismal Systems; Immune system"
"map04670","Leukocyte transendothelial migration",4,"Organismal Systems; Immune system"
"map04672","Intestinal immune network for IgA production",2,"Organismal Systems; Immune system"
"map04710","Circadian rhythm",2,"Organismal Systems; Environmental adaptation"
"map04713","Circadian entrainment",11,"Organismal Systems; Environmental adaptation"
"map04720","Long-term potentiation",7,"Organismal Systems; Nervous system"
"map04721","Synaptic vesicle cycle",12,"Organismal Systems; Nervous system"
"map04722","Neurotrophin signaling pathway",5,"Organismal Systems; Nervous system"
"map04723","Retrograde endocannabinoid signaling",19,"Organismal Systems; Nervous system"
"map04724","Glutamatergic synapse",8,"Organismal Systems; Nervous system"
"map04725","Cholinergic synapse",12,"Organismal Systems; Nervous system"
"map04726","Serotonergic synapse",42,"Organismal Systems; Nervous system"
"map04727","GABAergic synapse",9,"Organismal Systems; Nervous system"
"map04728","Dopaminergic synapse",12,"Organismal Systems; Nervous system"
"map04730","Long-term depression",9,"Organismal Systems; Nervous system"
"map04740","Olfactory transduction",5,"Organismal Systems; Sensory system"
"map04742","Taste transduction",13,"Organismal Systems; Sensory system"
"map04744","Phototransduction",8,"Organismal Systems; Sensory system"
"map04745","Phototransduction - fly",11,"Organismal Systems; Sensory system"
"map04810","Regulation of actin cytoskeleton",6,"Cellular Processes; Cell motility"
"map04910","Insulin signaling pathway",4,"Organismal Systems; Endocrine system"
"map04911","Insulin secretion",13,"Organismal Systems; Endocrine system"
"map04912","GnRH signaling pathway",6,"Organismal Systems; Endocrine system"
"map04913","Ovarian steroidogenesis",24,"Organismal Systems; Endocrine system"
"map04914","Progesterone-mediated oocyte maturation",4,"Organismal Systems; Endocrine system"
"map04915","Estrogen signaling pathway",9,"Organismal Systems; Endocrine system"
"map04916","Melanogenesis",6,"Organismal Systems; Endocrine system"
"map04917","Prolactin signaling pathway",11,"Organismal Systems; Endocrine system"
"map04918","Thyroid hormone synthesis",21,"Organismal Systems; Endocrine system"
"map04919","Thyroid hormone signaling pathway",11,"Organismal Systems; Endocrine system"
"map04920","Adipocytokine signaling pathway",7,"Organismal Systems; Endocrine system"
"map04930","Type II diabetes mellitus",6,"Human Diseases; Endocrine and metabolic diseases"
"map04932","Non-alcoholic fatty liver disease (NAFLD)",2,"Human Diseases; Endocrine and metabolic diseases"
"map04940","Type I diabetes mellitus",3,"Human Diseases; Endocrine and metabolic diseases"
"map04960","Aldosterone-regulated sodium reabsorption",8,"Organismal Systems; Excretory system"
"map04961","Endocrine and other factor-regulated calcium reabsorption",9,"Organismal Systems; Excretory system"
"map04962","Vasopressin-regulated water reabsorption",2,"Organismal Systems; Excretory system"
"map04964","Proximal tubule bicarbonate reclamation",17,"Organismal Systems; Excretory system"
"map04966","Collecting duct acid secretion",8,"Organismal Systems; Excretory system"
"map04970","Salivary secretion",17,"Organismal Systems; Digestive system"
"map04971","Gastric acid secretion",14,"Organismal Systems; Digestive system"
"map04972","Pancreatic secretion",17,"Organismal Systems; Digestive system"
"map04973","Carbohydrate digestion and absorption",27,"Organismal Systems; Digestive system"
"map04974","Protein digestion and absorption",47,"Organismal Systems; Digestive system"
"map04975","Fat digestion and absorption",12,"Organismal Systems; Digestive system"
"map04976","Bile secretion",175,"Organismal Systems; Digestive system"
"map04977","Vitamin digestion and absorption",38,"Organismal Systems; Digestive system"
"map04978","Mineral absorption",29,"Organismal Systems; Digestive system"
"map05010","Alzheimer's disease",7,"Human Diseases; Neurodegenerative diseases"
"map05012","Parkinson's disease",15,"Human Diseases; Neurodegenerative diseases"
"map05014","Amyotrophic lateral sclerosis (ALS)",10,"Human Diseases; Neurodegenerative diseases"
"map05016","Huntington's disease",3,"Human Diseases; Neurodegenerative diseases"
"map05020","Prion diseases",3,"Human Diseases; Neurodegenerative diseases"
"map05030","Cocaine addiction",8,"Human Diseases; Substance dependence"
"map05031","Amphetamine addiction",10,"Human Diseases; Substance dependence"
"map05032","Morphine addiction",12,"Human Diseases; Substance dependence"
"map05033","Nicotine addiction",7,"Human Diseases; Substance dependence"
"map05034","Alcoholism",10,"Human Diseases; Substance dependence"
"map05110","Vibrio cholerae infection",9,"Human Diseases; Infectious diseases"
"map05111","Vibrio cholerae pathogenic cycle",4,"Human Diseases; Infectious diseases"
"map05120","Epithelial cell signaling in Helicobacter pylori infection",7,"Human Diseases; Infectious diseases"
"map05130","Pathogenic Escherichia coli infection",1,"Human Diseases; Infectious diseases"
"map05131","Shigellosis",2,"Human Diseases; Infectious diseases"
"map05132","Salmonella infection",4,"Human Diseases; Infectious diseases"
"map05133","Pertussis",10,"Human Diseases; Infectious diseases"
"map05134","Legionellosis",2,"Human Diseases; Infectious diseases"
"map05140","Leishmaniasis",6,"Human Diseases; Infectious diseases"
"map05142","Chagas disease (American trypanosomiasis)",7,"Human Diseases; Infectious diseases"
"map05143","African trypanosomiasis",10,"Human Diseases; Infectious diseases"
"map05144","Malaria",5,"Human Diseases; Infectious diseases"
"map05145","Toxoplasmosis",3,"Human Diseases; Infectious diseases"
"map05146","Amoebiasis",13,"Human Diseases; Infectious diseases"
"map05150","Staphylococcus aureus infection",12,"Human Diseases; Infectious diseases"
"map05152","Tuberculosis",9,"Human Diseases; Infectious diseases"
"map05160","Hepatitis C",8,"Human Diseases; Infectious diseases"
"map05162","Measles",4,"Human Diseases; Infectious diseases"
"map05164","Influenza A",4,"Human Diseases; Infectious diseases"
"map05166","HTLV-I infection",9,"Human Diseases; Infectious diseases"
"map05169","Epstein-Barr virus infection",3,"Human Diseases; Infectious diseases"
"map05200","Pathways in cancer",20,"Human Diseases; Cancers"
"map05204","Chemical carcinogenesis",99,"Human Diseases; Cancers"
"map05205","Proteoglycans in cancer",7,"Human Diseases; Cancers"
"map05211","Renal cell carcinoma",3,"Human Diseases; Cancers"
"map05212","Pancreatic cancer",2,"Human Diseases; Cancers"
"map05213","Endometrial cancer",1,"Human Diseases; Cancers"
"map05214","Glioma",4,"Human Diseases; Cancers"
"map05215","Prostate cancer",11,"Human Diseases; Cancers"
"map05217","Basal cell carcinoma",1,"Human Diseases; Cancers"
"map05218","Melanoma",1,"Human Diseases; Cancers"
"map05220","Chronic myeloid leukemia",1,"Human Diseases; Cancers"
"map05221","Acute myeloid leukemia",1,"Human Diseases; Cancers"
"map05222","Small cell lung cancer",3,"Human Diseases; Cancers"
"map05223","Non-small cell lung cancer",6,"Human Diseases; Cancers"
"map05310","Asthma",5,"Human Diseases; Immune diseases"
"map05320","Autoimmune thyroid disease",4,"Human Diseases; Immune diseases"
"map05322","Systemic lupus erythematosus",3,"Human Diseases; Immune diseases"
"map05323","Rheumatoid arthritis",4,"Human Diseases; Immune diseases"
"map05330","Allograft rejection",1,"Human Diseases; Immune diseases"
"map05332","Graft-versus-host disease",2,"Human Diseases; Immune diseases"
"map05410","Hypertrophic cardiomyopathy (HCM)",5,"Human Diseases; Cardiovascular diseases"
"map05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",2,"Human Diseases; Cardiovascular diseases"
"map05414","Dilated cardiomyopathy",4,"Human Diseases; Cardiovascular diseases"
"map00312","beta-Lactam resistance",2,NA
"map07011","Penicillins",74,NA
"map07012","Cephalosporins - parenteral agents",60,NA
"map07013","Cephalosporins - oral agents",28,NA
"map07014","Quinolones",36,NA
"map07015","Local analgesics",20,NA
"map07016","Sulfonamide derivatives - sulfa drugs",41,NA
"map07017","Sulfonamide derivatives - diuretics",35,NA
"map07018","Sulfonamide derivatives - hypoglycemic agents",19,NA
"map07019","Tetracyclines",20,NA
"map07020","Macrolides and ketolides",36,NA
"map07021","Aminoglycosides",33,NA
"map07023","Rifamycins",11,NA
"map07024","HMG-CoA reductase inhibitors",17,NA
"map07025","Quinolines",24,NA
"map07026","Antifungal agents",56,NA
"map07027","Antidepressants",72,NA
"map07028","Antipsychotics",43,NA
"map07029","Phenothiazines",56,NA
"map07030","Anxiolytics",32,NA
"map07031","Butyrophenones",21,NA
"map07032","Hypnotics",67,NA
"map07033","Anticonvulsants",48,NA
"map07034","Eicosanoids",23,NA
"map07035","Prostaglandins",24,NA
"map07036","Calcium channel blocking drugs",45,NA
"map07037","Antiarrhythmic drugs",69,NA
"map07038","Antiulcer drugs",66,NA
"map07039","Opioid analgesics",59,NA
"map07040","Antineoplastics - alkylating agents",34,NA
"map07041","Antineoplastics - antimetabolic agents",33,NA
"map07042","Antineoplastics - agents from natural products",47,NA
"map07043","Antineoplastics - hormones",39,NA
"map07044","Antiviral agents",94,NA
"map07045","Antineoplastics - protein kinases inhibitors",44,NA
"map07046","Immunosuppressive agents",36,NA
"map07047","Osteoporosis drugs",48,NA
"map07048","Antimigraines",70,NA
"map07049","Antithrombosis agents",50,NA
"map07050","Antirheumatics - DMARDs and biological agents",29,NA
"map07051","Antidiabetics",43,NA
"map07052","Antidyslipidemic agents",16,NA
"map07053","Anti-HIV agents",49,NA
"map07054","Antiglaucoma agents",51,NA
"map07055","Sulfonamide derivatives - overview",22,NA
"map07056","Agents for Alzheimer-type dementia",23,NA
"map07057","Antiparkinsonian agents",52,NA
"map07110","Benzoic acid family",31,NA
"map07112","1,2-Diphenyl substitution family",8,NA
"map07114","Naphthalene family",29,NA
"map07117","Benzodiazepine family",16,NA
"map07211","Serotonin receptor agonists/antagonists",40,NA
"map07212","Histamine H1 receptor antagonists",98,NA
"map07213","Dopamine receptor agonists/antagonists",55,NA
"map07214","beta-Adrenergic receptor agonists/antagonists",39,NA
"map07215","alpha-Adrenergic receptor agonists/antagonists",41,NA
"map07216","Catecholamine transferase inhibitors",34,NA
"map07217","Renin-angiotensin system inhibitors",31,NA
"map07218","HIV protease inhibitors",28,NA
"map07219","Cyclooxygenase inhibitors",55,NA
"map07220","Cholinergic and anticholinergic drugs",78,NA
"map07221","Nicotinic cholinergic receptor antagonists",19,NA
"map07222","Peroxisome proliferator-activated receptor (PPAR) agonists",26,NA
"map07223","Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists",15,NA
"map07224","Opioid receptor agonists/antagonists",91,NA
"map07225","Glucocorticoid and meneralocorticoid receptor agonists/antagonists",91,NA
"map07226","Progesterone, androgen and estrogen receptor agonists/antagonists",81,NA
"map07227","Histamine H2/H3 receptor agonists/antagonists",25,NA
"map07228","Eicosanoid receptor agonists/antagonists",43,NA
"map07229","Angiotensin receptor and endothelin receptor antagonists",19,NA
"map07230","GABA-A receptor agonists/antagonists",70,NA
"map07231","Sodium channel blocking drugs",66,NA
"map07232","Potassium channel blocking and opening drugs",35,NA
"map07233","Ion transporter inhibitors",49,NA
"map07234","Neurotransmitter transporter inhibitors",65,NA
