Sample Name,
Raw File Name,J:\Data\pHilicTest_18APR15\Std2_1.raw
Config File Name,J:\StdMix2_20min_pHILIC_06022013.csv
Laboratory,
Acquisition Start Time,18/04/2015 15:21:58



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
22,23,Methylcysteine,C4H9NO2S,+,,136.04269,0.13,9.18,9.13,20173226,-,-,-,-,-,-,-,-,
23,24,Ala-Gly,C5H10N2O3,+,,147.07646,0.29,9.14,9.00,39837364,-,-,-,-,-,-,-,-,
24,25,Guanosine,C10H13N5O5,+,,284.09857,-1.31,9.98,9.66,1116780,-,-,-,-,-,-,-,-,
25,26,dAMP,C10H14N5O6P,+,,332.07513,-0.94,9.14,9.06,108266808,-,-,-,-,-,-,-,-,
26,27,1-Aminocyclopropane-1-carboxylate,C4H7NO2,+,,102.05495,-0.01,9.59,9.49,28384760,-,-,-,-,-,-,-,-,
27,28,N(pi)-Methyl-L-histidine,C7H11N3O2,+,,170.09233,-0.42,9.47,9.45,336747680,-,-,-,-,-,-,-,-,
28,29,L-Carnitine,C7H15NO3,+,,162.11250,0.20,9.89,9.83,181991312,-,-,-,-,-,-,-,-,
29,30,Eflornithine,C6H12F2N2O2,+,,183.09406,0.52,9.98,9.87,156069088,-,-,-,-,-,-,-,-,
30,31,L-Tyrosine,C9H11NO3,+,,182.08125,0.46,9.98,5.64,24434979,-,-,-,-,-,-,-,-,
31,32,4-Trimethylammoniobutanoate,C7H15NO2,+,,146.11751,-0.32,9.77,9.72,2679002692,-,-,-,-,-,-,-,-,
32,33,S-Adenosyl-L-homocysteine,C14H20N6O5S,+,low conc (10fold),385.12888,0.03,9.68,9.66,25534442,-,-,-,-,-,-,-,-,
33,34,AMP,C10H14N5O7P,+,,348.07040,0.12,9.59,9.51,38047904,-,-,-,-,-,-,-,-,
-,35,NAD+,C21H27N7O14P2,+,,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
34,36,Glycylglycine,C4H8N2O3,+,,133.06082,0.40,9.98,9.83,9148713,-,-,-,-,-,-,-,-,
35,37,Phenol,C6H6O,+,,95.04906,-0.89,0.00,4.18,135561,-,-,-,-,-,-,-,-,
36,38,D-Glucosamine-6-phosphate,C6H14NO8P,+,,260.05276,-0.82,10.79,10.78,945023,-,-,-,-,-,-,-,-,
37,39,L-Alanine,C3H7NO2,+,,90.05500,0.50,10.73,10.56,5523150,-,-,-,-,-,-,-,-,
38,40,Choline phosphate,C5H14NO4P,+,,184.07321,-0.59,10.21,10.25,983609153,-,-,-,-,-,-,-,-,
39,41,dCMP,C9H14N3O7P,+,,308.06418,-0.11,10.10,9.99,9706832,-,-,-,-,-,-,-,-,
40,42,L-2-Aminoadipate,C6H11NO4,+,,162.07599,-0.59,10.38,10.23,17816216,-,-,-,-,-,-,-,-,
41,43,L-homoserine,C4H9NO3,+,,120.06561,0.78,10.75,10.63,91565828,-,-,-,-,-,-,-,-,
42,44,N-Acetylornithine,C7H14N2O3,+,,175.10773,0.05,10.70,10.58,225278559,-,-,-,-,-,-,-,-,
43,45,4-Aminobutanoate,C4H9NO2,+,,104.07050,-1.05,10.94,10.82,146788884,-,-,-,-,-,-,-,-,
44,46,L-Cystathionine,C7H14N2O4S,+,,223.07465,-0.26,11.22,11.19,3162790,-,-,-,-,-,-,-,-,
45,47,agmatine,C5H14N4,+,,131.12920,0.56,11.15,11.57,82848,-,-,-,-,-,-,-,-,
46,48,Spermine,C10H26N4,+,,203.22292,-0.53,12.23,11.01,83041,-,-,-,-,-,-,-,-,
-,49,Trypanothione disulfide,C27H47N9O10S2,+,,N,-,12.17,-,N,-,-,-,-,-,-,-,-,
47,50,Choline,C5H13NO,+,,104.10692,-0.69,15.65,15.25,220669227,-,-,-,-,-,-,-,-,
48,51,1-Aminopropan-2-ol,C3H9NO,+,,76.07569,0.01,15.65,15.64,10069281,-,-,-,-,-,-,-,-,
49,52,L-Ornithine,C5H12N2O2,+,,133.09711,-0.36,14.24,14.52,27688528,-,-,-,-,-,-,-,-,
50,53,5-Methoxytryptamine,C11H14N2O,+,,191.11812,1.20,4.59,6.49,345956,-,-,-,-,-,-,-,-,
-,54,Methylguanidine,C2H7N3,+,,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
-,55,Biotin,C10H16N2O3S,+,not seen,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
51,56,L-2_3-Diaminopropanoate,C3H8N2O2,+,noise,105.06589,0.32,11.31,10.91,409019,-,-,-,-,-,-,-,-,
52,57,1_3-Diaminopropane,C3H10N2,+,not seen,75.09167,-0.00,14.04,12.31,13318,-,-,-,-,-,-,-,-,
53,58,Taurocholate,C26H45NO7S,-,,514.28528,1.71,4.54,4.93,20545422,-,-,-,-,-,-,-,-,
54,59,Lipoate,C8H14O2S2,-,,205.03639,0.72,4.54,4.62,35589796,-,-,-,-,-,-,-,-,
55,60,Phenylacetylglycine,C10H11NO3,-,split?,192.06679,0.89,5.89,5.99,441162734,-,-,-,-,-,-,-,-,
56,61,Phenylpyruvate,C9H8O3,-,noisy,163.04015,0.48,4.60,4.60,291781674,-,-,-,-,-,-,-,-,
57,62,D-Threose,C4H8O4,-,,119.03500,0.12,8.27,8.03,991064,-,-,-,-,-,-,-,-,
58,63,succinate semialdehyde,C4H6O3,-,,101.02439,-0.26,8.27,7.98,415159928,-,-,-,-,-,-,-,-,
59,64,N-Acetylglutamine,C7H12N2O4,-,,187.07257,0.75,8.46,8.28,56097376,-,-,-,-,-,-,-,-,
60,65,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,-,,179.03510,0.63,6.36,6.26,74661263,-,-,-,-,-,-,-,-,
61,66,D-Ribose,C5H10O5,-,,149.04556,0.11,8.91,9.39,126233,-,-,-,-,-,-,-,-,
62,67,FMN,C17H21N4O9P,-,,455.09821,1.91,8.52,8.52,3522007,-,-,-,-,-,-,-,-,
63,68,L-Gulono-1_4-lactone,C6H10O6,-,,177.04057,0.63,9.31,9.96,21659652,-,-,-,-,-,-,-,-,
64,69,Orotidine,C10H12N2O8,-,,287.05243,1.19,9.50,9.24,36472816,-,-,-,-,-,-,-,-,
65,70,N-Acetylneuraminate,C11H19NO9,-,,308.09915,1.45,9.74,9.56,11217782,-,-,-,-,-,-,-,-,
66,71,dUMP,C9H13N2O8P,-,,307.03415,1.54,9.72,9.56,8751056,-,-,-,-,-,-,-,-,
67,72,allantoin,C4H6N4O3,-,,157.03674,0.19,11.02,10.64,1575289,-,-,-,-,-,-,-,-,
68,73,dIMP,C10H13N4O7P,-,,331.04556,1.98,9.95,9.82,2973028,-,-,-,-,-,-,-,-,
69,74,sn-Glycerol 3-phosphate,C3H9O6P,-,,171.00653,0.78,10.32,10.17,7186853,-,-,-,-,-,-,-,-,
70,75,sucrose,C12H22O11,-,,341.10931,1.11,10.78,10.60,6954219,-,-,-,-,-,-,-,-,
71,76,D-Erythrose 4-phosphate,C4H9O7P,-,,199.00150,0.92,10.85,10.72,149376,-,-,-,-,-,-,-,-,
72,77,Succinate,C4H6O4,-,,117.01925,-0.71,10.61,10.36,143731156,-,-,-,-,-,-,-,-,
73,78,D-Glucuronolactone,C6H8O6,-,,175.02487,0.35,10.85,8.90,8037272,-,-,-,-,-,-,-,-,
74,79,Mesaconate,C5H6O4,-,,129.01939,0.48,10.80,10.55,3922769,-,-,-,-,-,-,-,-,
75,80,2-Oxoglutarate,C5H6O5,-,,145.01425,0.04,10.91,6.85,56079396,-,-,-,-,-,-,-,-,
76,81,GMP,C10H14N5O8P,-,,362.05133,1.68,10.67,10.49,2978847,-,-,-,-,-,-,-,-,
77,82,(S)-Malate,C4H6O5,-,,133.01422,-0.19,11.04,10.83,112748879,-,-,-,-,-,-,-,-,
78,83,UDP-glucose,C15H24N2O17P2,-,,565.04901,2.24,10.95,10.74,2191588,-,-,-,-,-,-,-,-,
79,84,Folate,C19H19N7O6,-,,440.13306,1.48,11.10,10.85,2808525,-,-,-,-,-,-,-,-,
-,85,DL-Glyceraldehyde 3-phosphate,C3H7O6P,-,,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
80,86,NADP+,C21H28N7O17P3,-,,742.07013,2.63,10.78,10.62,180488,-,-,-,-,-,-,-,-,
-,87,ATP,C10H16N5O13P3,-,,N,-,10.85,-,N,-,-,-,-,-,-,-,-,
81,88,3-Phospho-D-glycerate,C3H7O7P,-,,184.98573,0.38,11.19,11.16,30236,-,-,-,-,-,-,-,-,
82,89,Oxalate,C2H2O4,-,,88.98812,1.00,12.02,11.72,60443,-,-,-,-,-,-,-,-,
83,90,GDP,C10H15N5O11P2,-,,442.01782,1.74,11.56,11.74,471537,-,-,-,-,-,-,-,-,
84,91,citrate,C6H8O7,-,noisy,191.01988,0.82,11.85,11.74,26562054,-,-,-,-,-,-,-,-,
85,92,CTP,C9H16N3O14P3,-,,481.97787,1.33,11.67,12.03,86042,-,-,-,-,-,-,-,-,
86,93,GTP,C10H16N5O14P3,-,,521.98462,2.37,12.11,12.69,26973,-,-,-,-,-,-,-,-,
87,94,2-Deoxy-D-glucose,C6H12O5,-,not seen,163.06149,1.82,8.65,6.69,31820,-,-,-,-,-,-,-,-,
88,95,(R)-Lactate,C3H6O3,-,not seen,89.02454,1.33,5.37,7.96,9071166,-,-,-,-,-,-,-,-,
-,96,Acetyl-CoA,C23H38N7O17P3S,-,not seen,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
