Sample Name,
Raw File Name,J:\Data\pHilicTest_18APR15\Std1_1.raw
Config File Name,J:\StdMix1_20min_pHILIC_06022013.csv
Laboratory,
Acquisition Start Time,18/04/2015 15:48:16



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
81,84,cis-Aconitate,C6H6O6,-,,173.00916,-0.03,11.77,11.56,193468263,-,-,-,-,-,-,-,-,
82,85,Gallate,C7H6O5,-,noisy,169.01430,0.30,13.11,12.53,80877321,-,-,-,-,-,-,-,-,
-,86,D-Erythrose,C4H8O4,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,87,Maltose,C12H22O11,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,88,2-oxobutanoate,C4H6O3,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,89,2-Methylcitrate,C7H10O7,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,90,Glyoxylate,C2H2O3,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,91,glycolate,C2H4O3,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,92,methylglyoxal,C3H4O2,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,93,IDP,C10H14N4O11P2,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,94,ADP,C10H15N5O10P2,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,95,D-Fructose 1_6-bisphosphate,C6H14O12P2,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,96,CoA,C21H36N7O16P3S,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,97,2_3-Bisphospho-D-glycerate,C3H8O10P2,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,98,3-Hydroxyphenylacetate,C8H8O3,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,99,Deoxyribose,C5H10O4,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,100,Cholesterol,C27H46O,+,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,101,1-Butanol,C4H10O,+,noise,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,102,Oxaloacetate,C4H4O5,+,unstable,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,103,Imidazole,C3H4N2,+,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,104,glyceraldehyde,C3H6O3,+,not consistent,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
