Sample Name,
Raw File Name,E:\Data\QExactive\thermo_collaboration\stds2.raw
Config File Name,Z:\StdMix2_Jun2011.csv
Laboratory,
Acquisition Start Time,01/08/2012 12:38:43



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
-,25,L-2-Aminoadipate,C6H11NO4,+,,N,-,16.96,-,N,-,-,-,-,-,-,-,-,
10,26,4-(beta-Acetylaminoethyl)imidazole,C7H11N3O,+,,154.09720,-1.88,16.65,17.32,174093,-,-,-,-,-,-,-,-,
-,27,Methylguanidine,C2H7N3,+,,N,-,16.59,-,N,-,-,-,-,-,-,-,-,
11,28,1-Aminocyclopropane-1-carboxylate,C4H7NO2,+,,102.05484,-1.13,17.68,19.36,122242400,-,-,-,-,-,-,-,-,
-,29,L-Carnitine,C7H15NO3,+,,N,-,17.74,-,N,-,-,-,-,-,-,-,-,
-,30,L-Alanine,C3H7NO2,+,,N,-,18.02,-,N,-,-,-,-,-,-,-,-,
-,31,dAMP,C10H14N5O6P,+,,N,-,18.30,-,N,-,-,-,-,-,-,-,-,
12,32,4-Aminobutanoate,C4H9NO2,+,,104.07059,-0.17,18.14,15.39,70655,-,-,-,-,-,-,-,-,
13,33,L-homoserine,C4H9NO3,+,,120.06538,-1.19,18.40,17.48,182026478,-,-,-,-,-,-,-,-,
14,34,Choline,C5H13NO,+,,104.10687,-1.13,18.18,18.74,30211398,-,-,-,-,-,-,-,-,
15,35,AMP,C10H14N5O7P,+,,348.06985,-1.45,18.95,16.79,471883,-,-,-,-,-,-,-,-,
-,36,cytosine,C4H5N3O,+,,N,-,18.86,-,N,-,-,-,-,-,-,-,-,
-,37,N-Acetylornithine,C7H14N2O3,+,,N,-,19.34,-,N,-,-,-,-,-,-,-,-,
-,38,dCMP,C9H14N3O7P,+,,N,-,19.72,-,N,-,-,-,-,-,-,-,-,
16,39,1-Aminopropan-2-ol,C3H9NO,+,,76.07569,0.01,19.34,19.01,2481447,-,-,-,-,-,-,-,-,
-,40,Ala-Gly,C5H10N2O3,+,,N,-,19.69,-,N,-,-,-,-,-,-,-,-,
-,41,NAD+,C21H27N7O14P2,+,,N,-,21.08,-,N,-,-,-,-,-,-,-,-,
-,42,Glycylglycine,C4H8N2O3,+,,N,-,20.45,-,N,-,-,-,-,-,-,-,-,
-,43,S-Adenosyl-L-homocysteine,C14H20N6O5S,+,low conc (10fold),N,-,20.66,-,N,-,-,-,-,-,-,-,-,
-,44,Choline phosphate,C5H14NO4P,+,,N,-,23.25,-,N,-,-,-,-,-,-,-,-,
-,45,D-Glucosamine 6-phosphate,C6H14NO8P,+,,N,-,23.25,-,N,-,-,-,-,-,-,-,-,
-,46,L-Cystathionine,C7H14N2O4S,+,,N,-,23.22,-,N,-,-,-,-,-,-,-,-,
-,47,HEPES,C8H18N2O4S,+,,N,-,23.25,-,N,-,-,-,-,-,-,-,-,
-,48,Eflornithine,C6H12F2N2O2,+,,N,-,24.23,-,N,-,-,-,-,-,-,-,-,
-,49,N(pi)-Methyl-L-histidine,C7H11N3O2,+,,N,-,25.93,-,N,-,-,-,-,-,-,-,-,
-,50,L-2_3-Diaminopropanoate,C3H8N2O2,+,,N,-,26.18,-,N,-,-,-,-,-,-,-,-,
17,51,L-Ornithine,C5H12N2O2,+,,133.09694,-1.62,26.63,27.11,320281,-,-,-,-,-,-,-,-,
-,52,Trypanothione disulfide,C27H47N9O10S2,+,,N,-,27.50,-,N,-,-,-,-,-,-,-,-,
-,53,agmatine,C5H14N4,+,,N,-,28.95,-,N,-,-,-,-,-,-,-,-,
-,54,1_3-Diaminopropane,C3H10N2,+,,N,-,29.04,-,N,-,-,-,-,-,-,-,-,
-,55,Dopamine,C8H11NO2,+,,N,-,16.74,-,N,-,-,-,-,-,-,-,-,
-,56,FAD,C27H33N9O15P2,+,,N,-,23.00,-,N,-,-,-,-,-,-,-,-,
-,57,Spermine,C10H26N4,+,,N,-,45.00,-,-,-,-,-,-,-,-,-,-,
-,58,Lipoate,C8H14O2S2,-,,N,-,5.61,-,N,-,-,-,-,-,-,-,-,
-,59,Phenylacetylglycine,C10H11NO3,-,,N,-,5.99,-,N,-,-,-,-,-,-,-,-,
18,60,Phenylpyruvate,C9H8O3,-,,163.04018,0.67,6.07,5.87,12065,-,-,-,-,-,-,-,-,
19,61,Mesaconate,C5H6O4,-,,129.01929,-0.35,6.36,6.69,206554227,-,-,-,-,-,-,-,-,
20,62,succinate semialdehyde,C4H6O3,-,,101.02436,-0.56,6.55,6.27,149442,-,-,-,-,-,-,-,-,
-,63,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,-,,N,-,7.29,-,N,-,-,-,-,-,-,-,-,
21,64,Succinate,C4H6O4,-,,117.01929,-0.32,7.07,7.13,4807593,-,-,-,-,-,-,-,-,
22,65,Taurocholate,C26H45NO7S,-,,514.28577,2.66,6.74,5.45,12376,-,-,-,-,-,-,-,-,
23,66,2-Oxoglutarate,C5H6O5,-,,145.01424,-0.07,11.11,7.30,21665,-,-,-,-,-,-,-,-,
24,67,N-Acetylglutamine,C7H12N2O4,-,,187.07246,0.18,9.36,8.86,4735477,-,-,-,-,-,-,-,-,
25,68,(S)-Malate,C4H6O5,-,,133.01430,0.38,11.17,15.38,109968,-,-,-,-,-,-,-,-,
-,69,Folate,C19H19N7O6,-,,N,-,10.93,-,N,-,-,-,-,-,-,-,-,
26,70,D-Ribose,C5H10O5,-,,149.04550,-0.30,12.02,12.92,10699537,-,-,-,-,-,-,-,-,
-,71,FMN,C17H21N4O9P,-,,N,-,14.58,-,N,-,-,-,-,-,-,-,-,
-,72,Orotidine,C10H12N2O8,-,,N,-,14.22,-,N,-,-,-,-,-,-,-,-,
-,73,allantoin,C4H6N4O3,-,,N,-,14.06,-,N,-,-,-,-,-,-,-,-,
27,74,N-Acetylneuraminate,C11H19NO9,-,,308.09946,2.44,16.33,12.82,77382,-,-,-,-,-,-,-,-,
28,75,L-Gulono-1_4-lactone,C6H10O6,-,,177.04056,0.55,18.29,15.72,121268,-,-,-,-,-,-,-,-,
-,76,dUMP,C9H13N2O8P,-,,N,-,16.42,-,N,-,-,-,-,-,-,-,-,
-,77,sucrose,C12H22O11,-,,N,-,16.45,-,N,-,-,-,-,-,-,-,-,
-,78,D-Glucuronolactone,C6H8O6,-,,N,-,17.00,-,N,-,-,-,-,-,-,-,-,
-,79,dIMP,C10H13N4O7P,-,,N,-,17.63,-,N,-,-,-,-,-,-,-,-,
-,80,sn-Glycerol 3-phosphate,C3H9O6P,-,,N,-,19.18,-,N,-,-,-,-,-,-,-,-,
-,81,GMP,C10H14N5O8P,-,,N,-,20.04,-,N,-,-,-,-,-,-,-,-,
-,82,D-Erythrose 4-phosphate,C4H9O7P,-,,N,-,20.54,-,N,-,-,-,-,-,-,-,-,
29,83,DL-Glyceraldehyde 3-phosphate,C3H7O6P,-,,168.99081,0.39,18.30,15.38,420032,-,-,-,-,-,-,-,-,
30,84,3-Phospho-D-glycerate,C3H7O7P,-,,184.98567,0.05,22.52,18.87,249432,-,-,-,-,-,-,-,-,
-,85,citrate,C6H8O7,-,,N,-,22.00,-,-,-,-,-,-,-,-,-,-,
-,86,NADP+,C21H28N7O17P3,-,,N,-,28.82,-,-,-,-,-,-,-,-,-,-,
-,87,GDP,C10H15N5O11P2,-,,N,-,31.95,-,-,-,-,-,-,-,-,-,-,
-,88,UDP-glucose,C15H24N2O17P2,-,,N,-,30.00,-,-,-,-,-,-,-,-,-,-,
-,89,2-Deoxy-D-glucose,C6H12O5,-,,N,-,10.95,-,-,-,-,-,-,-,-,-,-,
-,90,D-Threose,C4H8O4,-,,N,-,10.00,-,-,-,-,-,-,-,-,-,-,
-,91,(R)-Lactate,C3H6O3,-,,N,-,7.41,-,-,-,-,-,-,-,-,-,-,
-,92,Oxalate,C2H2O4,-,noise,N,-,8.00,-,-,-,-,-,-,-,-,-,-,
-,93,GTP,C10H16N5O14P3,-,,N,-,35.00,-,-,-,-,-,-,-,-,-,-,
-,94,CTP,C9H16N3O14P3,-,,N,-,35.00,-,-,-,-,-,-,-,-,-,-,
-,95,Acetyl-CoA,C23H38N7O17P3S,-,low conc (2fold),N,-,35.00,-,-,-,-,-,-,-,-,-,-,
-,96,ATP,C10H16N5O13P3,-,,N,-,38.99,-,-,-,-,-,-,-,-,-,-,
